id_NUMBER,ITEM_NAME,TITLE,MAKER,DATE_MADE,PLACE_MADE,MATERIALS,MEASUREMENTS,DESCRIPTION,WHOLE_PART,COLLECTION
1883-54,anchor escapement; clock mechanism; model,"Model of recoil escapement of clock, with pendulum and woode",,,,,,"Model of recoil escapement of clock, with pendulum and wooden stand, having a hollow cylindrical bob, marked ""Mech Lab 100""",WHOLE,SCM - Time Measurement
1883-65,mock-up; escapement,"Model of Graham's Cylinder Escapement, 1850-1883",E. Dent & Co.,1850-1883,"London, Greater London, England, United Kingdom","brass (copper, zinc alloy); steel (metal); glass","overall: 85 mm x 110 mm x 165 mm, 1.675kg","Model by Dent of Graham's cylinder escapement for use with lantern, 1850-1883",WHOLE,SCM - Time Measurement
1883-66,mock-up; escapement,"Model of a Lever Escapement , 1850-1883",E. Dent & Co.,1850-1883,"London, Greater London, England, United Kingdom","brass (copper, zinc alloy); glass","overall: 140 mm x 85 mm x 65 mm, 1.025kg","Model by Dent of lever escapement for use with lantern, 1850-1883",WHOLE,SCM - Time Measurement
1916-229,pocket watch; repeater - timepiece,1/4-repeater in case,Lieutaud,1803,"Aix-en-Provence, Bouches-du-Rhône, Provence-Alpes-Cote d'Azur, France",silver,,"1/4-repeater verge by Lieutand a Aix, in silver case, London, hall mark 1803, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1913-567,electrically-driven clock; Hipp butterfly escapement,Clock with Hipp pendulum (an electric driven clock with Hipp,"Hipp, M.",,"Neuchâtel, Neuchâtel, Switzerland",,,Clock with Hipp pendulum (an electric driven clock with Hipp butterfly escapement) with a door of back of case,WHOLE,SCM - Time Measurement
1913-580,electrically-driven subsidiary clock,Bain's subsidiary electric clock,"Bain, Alexander",1875-1885,United Kingdom,"cast iron; brass (copper, zinc alloy); steel (metal); rope",overall: 259 mm x 375 mm x 225 mm,"Subsidiary electric clock (no weight, hands, pulley and suspension spring) by Alexander Bain, United Kingdom, 1875-1885.",WHOLE,SCM - Time Measurement
1913-581,movement - clockwork,'Pond' electric clock movement (no dial),Self Winding Clock Company,1905-1913,"New York, United States","cast iron; brass (copper, zinc alloy); steel (metal); leather",overall: 204 mm x 205 mm x 105 mm,"'Pond' electric clock (movement only, no dial), by Self Winding Clock Company, New York, United States, 1905-1913.",WHOLE,SCM - Time Measurement
1914-453,tower clock; weight-driven balance wheel clock,15th Century Iron striking clock with 17th century escapemen,,1401-1500; after 1650,,wrought iron,,"15th Century Iron striking clock with 17th century escapement and other later modifications (on stand). (Arrangement for driving hands incomplete, no driving weights) Including count wheel",WHOLE,SCM - Time Measurement
1914-887,diptych sundial,Wooden pocket sundial for use at various latitudes,,1776-1800,Germany,wood (unidentified); string,"overall: 16 mm x 50 mm x 81 mm, weight: 0.04kg","Wooden pocket sundial. Horizontal and vertical dials for use at various latitudes on moving style, Germany, 1776-1800 (see note).",WHOLE,SCM - Time Measurement
1915-95,watchman's clock; tell-tale clock,"Tell-tale clock by Slark with case, screws and dial",Slark,,,,,"Tell-tale clock by Slark with case, screws and dial",WHOLE,SCM - Time Measurement
1915-408,chronometer,"Chronometer in Gold Case by Thomas Earnsham, 1795-1810","Earnshaw, Thomas",1795-1810,"London, England, United Kingdom","glass; brass (copper, zinc alloy); enamel; gold","overall: 21 mm x 54 mm x 77 mm, 0.14kg","Gold-cased Chronometer watch no.728 made by Thomas Earnshaw, 1795-1810",WHOLE,SCM - Time Measurement
1916-8,orthochronograph (altitude sundial),"Orthochronograph, by Webster and Son, date 1844. (In mahogan",R. Webster and Son,1844,"London, Greater London, England, United Kingdom",case: mahogany,,"Orthochronograph, by Webster and Son, date 1844. (In mahogany case, with key, spirit level,  small compass and descriptive pamphlet).",WHOLE,SCM - Time Measurement
1916-93,pocket watch,"Pocket Watch in Triple Case by Quare, 1705-1720","Quare, Daniel",1705-1720,"London, Greater London, England, United Kingdom","brass (copper, zinc alloy); enamel; pinchbeck","overall (opened): 52 mm x 63 mm x 73 mm, .11kg; overall (separate case): 19 mm 50 mm, 0.025kg","Verge watch in pinchbeck triple case by Dan. Quare, London, no.4559, 1705-1720",WHOLE,SCM - Time Measurement
1916-94,pocket watch,Verge watch in case,"Garon, Peter (maker)",1694-1713,"London, Greater London, England, United Kingdom",,,"Verge watch in pinchbeck and moss-agate-painted tortoiseshell case, by Peter Garon, London, no.1488, 1694-1713, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-96,pocket watch,"Pocket Watch in Pinchbeck case by Tompion and Banger, 1701-1750",Tompion & Banger,1701-1750,"London, Greater London, England, United Kingdom","glass; enamel; brass (copper, zinc alloy); pinchbeck","overall: 25 mm x 57 mm x 70 mm, 0.135kg","Verge watch in pinchbeck pair case by Thomas Tompion and Edward Banger, no.3435",WHOLE,SCM - Time Measurement
1916-97,pocket watch,Verge watch in inner and outer case,"Fisher, Theo. (maker)",1700,"London, Greater London, England, United Kingdom",,,"Verge watch in silver inner case, shagreen outer case, by Theo. Fisher, London, no.2, about 1700, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-98,pocket watch,Verge watch in inner and outer case,Fromanteel and Clarke (maker),1700,"London, United Kingdom",,,"Verge watch in silver inner case, tortoiseshell outer case by Fromanteel and Clarke, about 1700, donated by Evan Roberts in 1916",WHOLE,SCM - Time Measurement
1916-100,pocket watch,Verge watch in pinchbeck pair case,"Martin, Jeremi (maker)",1680-1697,"London, Greater London, England, United Kingdom",pinchbeck,,"Verge watch in pinchbeck pair case, by Jeremi Martin, London, 1680-1697, gift from E. Roberts, 1916",WHOLE,SCM - Time Measurement
1916-103,pocket watch,Verge watch with inner and outer cases,"Tompion, Thomas; Banger, Edward",1639-1713,"London, Greater London, England, United Kingdom",pinchbeck; tortoiseshell,,"Verge watch in pinchbeck inner case, tortoiseshell outer case, by Tho. Tompion and Edw. Banger, 1639-1713, donated by Evan Roberts, London, no.3589, 1916",WHOLE,SCM - Time Measurement
1916-104,pocket watch,Verge watch with case,"Quare, Daniel",1648-1724,"London, Greater London, England, United Kingdom",pinchbeck; tortoiseshell,,"Verge watch in pinchbeck and tortoiseshell consular case by D. Quare, 1648-1724, donated by Evan Roberts, London, no.2393, 1916",WHOLE,SCM - Time Measurement
1916-105,pocket watch,Verge watch with inner and outer cases,"Cabrier, Charles",1697-1724,"London, Greater London, England, United Kingdom",pinchbeck; moss agate; tortoiseshell,,"Verge watch in pinchbeck inner case, moss agate painted tortoiseshell outer case, by Chas.  Cabrier, gift from Evan Roberts, London, no.17346, 1697-1724",WHOLE,SCM - Time Measurement
1916-106,pocket watch,"Pocket Watch in Silver pair Case by Harrison, 1784","Harrison, J.",1784,"London, Greater London, England, United Kingdom","brass (copper, zinc alloy); enamel; silver","overall: 21 mm x 55 mm x 62 mm, 0.135kg","Verge watch in silver pair case by Jno. Harrison, London, centre seconds, no.400, hall-marked, duty paid 1784",WHOLE,SCM - Time Measurement
1916-107,pocket watch; pedometer,Pocket watch with combined pedometer,"Gout, Ralph",c. 1800,"London, Greater London, England, United Kingdom",case: pinchbeck,,"Verge watch in pinchbeck case by Ralph Gout, London, no.224, combined with Pedometer ( incomplete)",WHOLE,SCM - Time Measurement
1916-108,pocket watch,"Pocket Watch in Silver Repousse, by Taylor, 1690-1710","Taylor, Thomas",1690-1710,"London, Greater London, England, United Kingdom","glass; enamel; brass (copper, zinc alloy); silver repoussé","overall: 29 mm x 54 mm x 59 mm, 0.105kg","Verge watch in silver repousse pair case, with decoration of two figures  on the back, by Thomas Taylor in Holborn, hall marked (? date), 1690-1710  (verdigris on movement)",WHOLE,SCM - Time Measurement
1916-109,pocket watch,"Verge watch in silver inner case, tortoiseshell outer case,","Imison, J",1786,"London, Greater London, England, United Kingdom","silver (metal); tortoiseshell; enamel; glass; brass (copper, zinc alloy)","overall (open slightly): 29 mm x 47 mm x 60 mm, weight: 0.09kg","Verge watch in silver inner case, tortoiseshell outer case, no. 23, by John Imison, London, England, hall marked, duty paid 1786.",WHOLE,SCM - Time Measurement
1916-110,pocket watch,Verge watch in triple case,"Graham, George",1673-1751,"London, Greater London, England, United Kingdom",pinchbeck,,"Verge watch in triple pinchbeck case, by Ge. Graham, gift from Evan Roberts, London, no.971, 1673-1751",WHOLE,SCM - Time Measurement
1916-113,pocket watch,"Pocket Watch in Silver Case by Dumbill, 1800-1834","Dumbill, J.",1800-1834,"Prescot, Knowsley, Merseyside, England, United Kingdom; Lancashire, England, United Kingdom","brass (copper, zinc alloy); enamel; silver","overall: 24 mm x 58 mm x 80 mm, 0.15kg","Verge watch in silver pair case by Jos. Dumbill, Prescot, no.416, silver top plate, centre seconds, hall marked, 1800-1834",WHOLE,SCM - Time Measurement
1916-117,pocket watch,"Pocket Watch with Shagreen Outer Case by Thomas Mudge, 1730-1750","Mudge, Thomas",1730-1750,"London, Greater London, England, United Kingdom","enamel; brass (copper, zinc alloy); pinchbeck; shagreen","overall: 26 mm x 50 mm x 66 mm, .085kg","Verge watch in pinchbeck inner case, shagreen outer case, by Thos. Mudge, London, no.31 ( damaged, endstone missing), 1730-1750",WHOLE,SCM - Time Measurement
1916-118,pocket watch,Verge watch with inner and outer cases,"Rogers, Isaac (maker)",1776-1839,"London, Greater London, England, United Kingdom",silver; shagreen,,"Verge watch in silver inner case, shagreen outer case, by Isaac Rogers, London, 1776-1839, no.20138, hall marked, duty paid, 1796. (Part of shagreen covering missing)",WHOLE,SCM - Time Measurement
1916-120,pocket watch,"Verge Pocket Watch in Silver Inner Case by Graham, 1770-1773","Graham, George",1773,"London, England","enamel; brass (copper, zinc alloy); steel (metal); silver","overall: 19 mm x 43 mm x 54 mm, .075kg","Verge watch in silver inner case (outer case missing) by Geo. Graham, London, no.5175. Chester hallmarked 1773, verge broken",WHOLE,SCM - Time Measurement
1880-38,cruciform sundial; sundial,Sundial with compass,Unknown maker,1601-1650,Germany,"copper (metal); glass; brass (copper, zinc alloy)","overall: 145 mm x 136 mm x 201 mm, weight: 1.38kg","Sundial with compass, copper, base plate 8 x 5 3/8-inches, unsigned, Germany, 1601-1650. Compass glass slightly chipped.",WHOLE,SCM - Time Measurement
1883-69,model - representation; stop-watch,Model by Dent showing the mechanism of stop watches (full si,E. Dent & Co.,,,,"overall: 235 mm 115 mm,",Model by Dent showing the mechanism of stop watches (full size),WHOLE,SCM - Time Measurement
1883-70,,Wooden model of compensation balance wheel (magnified),,,,,"overall: 40 mm 390 mm,",Wooden model of compensation balance wheel (magnified),WHOLE,SCM - Time Measurement
1986-1697,Weight driven pendulum clock,Early weight-driven pendulum clock with Huygens continuous r,"Call, Jan V. (maker)",,,,,"Early weight-driven pendulum clock with Huygens continuous rope maintaining power and adjustable cheeks. Dial engraved ""JAN V. CALL NEOMAGENS FECIT, CHR. HUGENIUS HAGAE INVENIT, Ao. Dom. 1657"".",WHOLE,SCM - Time Measurement
1986-1552,,"""Inaudible"" 1/2 minute impulse dial movement by Gents of Lei",Gent and Co. Ltd.,1919-1925,"Leicester, England, United Kingdom","brass (copper, zinc alloy); copper (metal); steel (metal); plastic (unidentified); gutta-percha","overall: 57 mm x 215 mm x 100 mm, Wt. 0.802kg","""Inaudible"" 1/2 minute impulse dial movement,  patented 1919, Gent and Co. Ltd., Leicester, England, 1919-1925",WHOLE,SCM - Time Measurement
1889-69,photograph,Photograph of an old clock from a German monastary,Hessian Historical Society,1880-1889,"Marburg, Giessen, Hesse, Germany",,overall: 336 mm x 290 mm,"Photograph (landscape) of an old clock from a German monastary with verge escapement, Marburg, Hesse, Germany, 1880-1889",WHOLE,SCM - Time Measurement
1892-10,Augsburg equinoctial sundial,"Brass sun-dial with added universal ring-dial, inscribed ""An","Vogler, Andreas",1766-1800,"Augsburg, Schwaben, Bavaria, Germany",,,"Brass sun-dial with added universal ring-dial, inscribed ""And Vogl"", German, 18th century on brass plate 8in. x 4 3/4in.",WHOLE,SCM - Time Measurement
1892-17,equinoctial sundial,"Sun-dial, brass, with crescent-shaped hour circle, 6 1/2in.",,1701-1800,,brass (alloy); chronological; crescent (shape); hinge (fastener); adjustable; folding (attribute),diameter:  165 mm,"Sun-dial, brass, with crescent-shaped hour circle, 6 1/2in. diameter, 18th century",WHOLE,SCM - Time Measurement
1892-18,Ivory diptych sundial,"Tablet dial, ivory, size 4in. by 2 3/4in., German, date 1700",,1700,Germany,,,"Tablet dial, ivory, size 4in. by 2 3/4in., German, date 1700, marked 17001 (Sic)",WHOLE,SCM - Time Measurement
1892-19,diptych sundial,Tablet sun-dial with string gnomon,,1610,Germany,"ivory; string; bronze (copper, tin alloy); glass","overall: 15 mm x 82 mm x 101 mm, weight: 0.215kg","Tablet sun-dial with string gnomon, ivory, engraved with epacts for years 1611 to 1629, size 4 x 3¼-inches, Germany, 1610 (see note).",WHOLE,SCM - Time Measurement
1893-171,lantern clock; weight-driven clock; balance wheel,Chinese clock with pedestal case and three weights. (There a,"Gembei, Fuwa",,"Nagoya, Aichi, Chubu, Japan",iron; silver; brass (alloy); inlaid; lead; inscription; timers; regulating; free-standing; chronological,"overall: 355 mm x 135 mm x 135 mm,","Chinese clock with pedestal case and three weights. (There are also in the case 2 lead counterpoises) (It was decided, after purchase, that this clock is Japanese)",WHOLE,SCM - Time Measurement
1894-8,mechanical equinoctial sundial,"Sun-dial, brass, inscribed ""T. Taborski"" W Krakowie"" 3 1/4 d","Taborski, T.",,"Cracow, Malopolskie, Poland, Poland",brass (alloy); inscription; engraved,diameter:  83 mm,"Sun-dial, brass, inscribed ""T. Taborski"" W Krakowie"" 3 1/4 diam.",WHOLE,SCM - Time Measurement
1894-10,analemmatic horizontal sundial,"Sun-dial, analemmatic, inscribed, ""F e C Engelbrecht, Beraun","Engelbrecht, Johann, II",1784,Czech Republic,inscription,overall:  162 x 143 mm,"Sun-dial, analemmatic, inscribed, ""F e C Engelbrecht, Beraunac in Bohemia 1784"", size 6 3/8"" x 5 5/8""",WHOLE,SCM - Time Measurement
1894-11,ring altitude sundial,Brass ring sun-dial,,1716,Europe,"brass (copper, zinc alloy)","overall: 15.88 mm x 44.45 mm, weight: 0.04kg","Ring sun-dial, brass, for use at latitude 48°, Europe, 1716.",WHOLE,SCM - Time Measurement
1894-12,ring altitude sundial,Ring sun-dial in brass,S. P. F.,1736,Europe,"brass (copper, zinc alloy)","overall: 19.05 mm x 53.975 mm, weight: 0.07kg","Ring sun-dial, brass, 2 1/8 (diameter) x 3/4-inches wide. Outside of ring is engraved with a table showing the days of the month in which the sun enters the corresponding sign of the zodiac.  For use at latitude 51°30'. Two pin holes allow use in summer and winter. Made by 'S. P. F.', Europe, 1736.",WHOLE,SCM - Time Measurement
1894-28,analemmatic horizontal sundial; sundial,Analemmatic brass sundial,Baradelle,1701-1800,"Paris, France","brass (copper, zinc alloy)","overall: 28 mm x 88 mm x 83 mm, weight: 0.095kg","Small brass sun-dial, analemmatic, by Baradelle, Paris, France, 1701-1800 (see note).",WHOLE,SCM - Time Measurement
